,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,189.5240936279297,2023-01-15,189.57296752929688,0.00025787698245438584,U1,[],"{""bookValue"": 21560, ""cashRatio"": 0.21617965367965367, ""ev"": 50430.8, ""fcfPerShareTTM"": 27.8544, ""longtermDebtTotalAsset"": 0.0622, ""longtermDebtTotalCapital"": 0.2493, ""longtermDebtTotalEquity"": 0.3336, ""netDebtToTotalCapital"": 0.225, ""netDebtToTotalEquity"": 0.3012, ""payoutRatioTTM"": 0.3079, ""pb"": 2.0379, ""peTTM"": 15.4602, ""pfcfTTM"": 6.7963, ""ptbv"": 2.0654, ""roaTTM"": 0.0244, ""roeTTM"": 0.1265, ""roicTTM"": 0.0955, ""rotcTTM"": 0.1249, ""tangibleBookValue"": 21273, ""totalDebtToEquity"": 0.3382, ""totalDebtToTotalAsset"": 0.063, ""totalDebtToTotalCapital"": 0.2527, ""totalRatio"": 1.229, ""period"": ""2022-12-31""}"
1,2023-01-15,189.57296752929688,2023-01-22,181.17552185058594,-0.04429664096181429,D5,[],"{""bookValue"": 21560, ""cashRatio"": 0.21617965367965367, ""ev"": 50430.8, ""fcfPerShareTTM"": 27.8544, ""longtermDebtTotalAsset"": 0.0622, ""longtermDebtTotalCapital"": 0.2493, ""longtermDebtTotalEquity"": 0.3336, ""netDebtToTotalCapital"": 0.225, ""netDebtToTotalEquity"": 0.3012, ""payoutRatioTTM"": 0.3079, ""pb"": 2.0379, ""peTTM"": 15.4602, ""pfcfTTM"": 6.7963, ""ptbv"": 2.0654, ""roaTTM"": 0.0244, ""roeTTM"": 0.1265, ""roicTTM"": 0.0955, ""rotcTTM"": 0.1249, ""tangibleBookValue"": 21273, ""totalDebtToEquity"": 0.3382, ""totalDebtToTotalAsset"": 0.063, ""totalDebtToTotalCapital"": 0.2527, ""totalRatio"": 1.229, ""period"": ""2022-12-31""}"
2,2023-01-22,181.17552185058594,2023-01-29,184.5286407470703,0.01850757134426617,U2,[],{}
3,2023-01-29,184.5286407470703,2023-02-05,178.6631317138672,-0.0317864425243497,D4,"[{""date"": ""2023-01-29"", ""headline"": ""Travelers Cos. Inc. stock outperforms market despite losses on the day"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-01-30"", ""headline"": ""Travelers Cos. Inc. stock rises Tuesday, outperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-01-31"", ""headline"": ""Travelers Cos. Inc. stock falls Wednesday, underperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-01-31"", ""headline"": ""tru Independence LLC Buys 3, Sells 2 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-01"", ""headline"": ""Travelers Cos. Inc. stock falls Thursday, underperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-01"", ""headline"": ""Nasdaq surges to five-month high as Meta leads rally in tech sector"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-01"", ""headline"": ""Unum Group (UNM) Q4 Earnings and Revenues Lag, Rise Y/Y"", ""summary"": ""Unum Group (UNM) Q4 reflects continued strong operating performance, core business premium trends nearing long-term growth expectations, improved core operations sales, stable persistency, premium growth and continued favorable benefits experience.""}, {""date"": ""2023-02-01"", ""headline"": ""Chubb's (CB) Q4 Earnings Miss Estimates on Higher Cat Loss"", ""summary"": ""Chubb's (CB) fourth-quarter 2022 results reflect higher catastrophe losses, which were partially offset by higher net investment income and higher premiums in the company's North America businesses.""}, {""date"": ""2023-02-02"", ""headline"": ""Travelers Cos. Inc. stock rises Friday, outperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""American Financial (AFG) Q4 Earnings Beat, Premiums Rise Y/Y"", ""summary"": ""American Financial's (AFG) fourth-quarter results reflect higher P&C insurance net earned premiums, offset by higher expenses and lower net investment income.""}, {""date"": ""2023-02-02"", ""headline"": ""MGIC Investment (MTG) Q4 Earnings Top, Revenues Lag Estimates"", ""summary"": ""MGIC Investment (MTG) Q4 results reflect higher insurance in force and net investment income, offset by higher expenses and lower premiums.""}, {""date"": ""2023-02-02"", ""headline"": ""Markel's (MKL) Q4 Earnings, Revenues Top Estimates, Rise Y/Y"", ""summary"": ""Markel's (MKL) Q4 results reflect higher earned premiums and net investment income, which were offset by higher expenses and deterioration in the combined ratio""}, {""date"": ""2023-02-02"", ""headline"": ""U.S. stocks surge to five-month highs as Meta earnings push Nasdaq into the lead"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""Video: Dow Movers: TRV, HD"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""U.S. stocks open higher as Nasdaq surges on Meta earnings, Powell remarks; Dow sinks"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""Travelers Provides A Reliable Dividend With Significant Growth Potential"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""S&P 500 surges to end at over five-month high, Nasdaq closes up 3.3% as Meta leads rally in tech sector stocks"", ""summary"": ""U.S. stocks ended mostly higher on Thursday after the Nasdaq Composite and the S&P 500 index surged to their highest levels in about five months, buoyed by...""}, {""date"": ""2023-02-03"", ""headline"": ""Selective Insurance (SIGI) Q4 Earnings In Line, Revenues Miss"", ""summary"": ""Selective Insurance (SIGI) Q4 results reflect average renewal pure price increases, solid retention, higher new business and exposure growth. Lower alternative investment income and escalating costs are offsets.""}]",{}
4,2023-02-05,178.6631317138672,2023-02-12,182.56370544433594,0.021832001337106277,U3,"[{""date"": ""2023-02-05"", ""headline"": ""Travelers Cos. Inc. stock underperforms Monday when compared to competitors despite daily gains"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-06"", ""headline"": ""Travelers Cos. Inc. stock outperforms market on strong trading day"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-07"", ""headline"": ""Travelers Cos. Inc. stock underperforms Wednesday when compared to competitors"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-07"", ""headline"": ""CNA Financial (CNA) Q4 Earnings, Revenues Top, Dividend Up"", ""summary"": ""CNA Financial's (CNA) Q4 results reflect solid top-line growth and strong underwriting profitability.""}, {""date"": ""2023-02-08"", ""headline"": ""Travelers Cos. Inc. stock falls Thursday, underperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-08"", ""headline"": ""Jeff Auxier`s Auxier Asset Management 4th-Quarter and Full-Year 2022 Report"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-08"", ""headline"": ""NUANCE INVESTMENTS, LLC Buys 1, Sells 4 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-09"", ""headline"": ""Travelers Cos. Inc. stock outperforms competitors on strong trading day"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-09"", ""headline"": ""Everest Re (RE) Q4 Earnings Beat, Revenues Miss Estimates"", ""summary"": ""Everest Re's (RE) Q4 results reflect higher premiums across its Reinsurance and Insurance businesses and better pricing as well as terms and conditions and deepening relationships with new and existing core clients.""}, {""date"": ""2023-02-09"", ""headline"": ""Dow falls nearly 100 points on losses in Travelers, 3M stocks"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
5,2023-02-12,182.56370544433594,2023-02-19,181.5861053466797,-0.005354843643630591,D1,"[{""date"": ""2023-02-13"", ""headline"": ""Travelers Cos. Inc. stock rises Monday, still underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. inched 0.46% higher to $187.60 Monday, on what proved to be an all-around positive trading session for the stock market, with...""}, {""date"": ""2023-02-14"", ""headline"": ""Travelers Cos. Inc. stock falls Tuesday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. slipped 1.85% to $184.13 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...""}, {""date"": ""2023-02-14"", ""headline"": ""Travelers Introduces Innovation Network for Construction Industry"", ""summary"": ""HARTFORD, Conn., February 14, 2023--The Travelers Companies, Inc. (NYSE: TRV) today launched the Travelers Innovation Network for Construction, an online platform providing construction customers with access to industry insights, as well as a curated group of technology providers and solutions aimed at improving productivity and safety on job sites.""}, {""date"": ""2023-02-15"", ""headline"": ""Insurer AIG profit shrinks as storm-related costs, weak investment returns hit"", ""summary"": ""U.S. insurer American International Group reported a near 24% fall in fourth-quarter profit on Wednesday, hurt by losses tied to a winter storm that hit parts of North America late last year, and lower alternate investment income.  Property damage, floods and power outages from frigid conditions in the United States and Canada in late December pushed up AIG's catastrophe losses in the quarter to $235 million, compared with $189 million a year earlier.  Last month, property and casualty insurer Travelers Companies Inc also reported a slump in quarterly profit, due to losses arising from the winter storm.""}, {""date"": ""2023-02-15"", ""headline"": ""Travelers Cos. Inc. stock outperforms competitors on strong trading day"", ""summary"": ""Shares of Travelers Cos. Inc. inched 0.59% higher to $185.22 Wednesday, on what proved to be an all-around great trading session for the stock market, with...""}, {""date"": ""2023-02-15"", ""headline"": ""NMI Holdings (NMIH) Q4 Earnings Meet Estimates, Increase Y/Y"", ""summary"": ""NMI Holdings' (NMIH) Q4 results reflect improved premiums and higher net investment income on the back of improving operating performance and persistency.""}, {""date"": ""2023-02-16"", ""headline"": ""Travelers Cos. Inc. stock outperforms competitors despite losses on the day"", ""summary"": ""Shares of Travelers Cos. Inc. slipped 1.17% to $183.06 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P...""}, {""date"": ""2023-02-16"", ""headline"": ""Palomar (PLMR) Q4 Earnings Top Estimates on Solid Underwriting"", ""summary"": ""Palomar (PLMR) Q4 results reflect higher premiums and net investment income, partially offset by an increase in losses and loss adjustment expenses.""}, {""date"": ""2023-02-16"", ""headline"": ""TRV October 20th Options Begin Trading"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-17"", ""headline"": ""Best Stocks To Buy Now? 2 Dow Jones Stocks To Watch In 2023"", ""summary"": ""Are these the best Dow Jones Industrial Average stocks to buy in 2023?""}, {""date"": ""2023-02-17"", ""headline"": ""Travelers Cos. Inc. stock rises Friday, outperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. advanced 1.47% to $185.75 Friday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...""}, {""date"": ""2023-02-17"", ""headline"": ""Kinsale Capital (KNSL) Q4 Earnings Top, Premiums Rise Y/Y"", ""summary"": ""Kinsale Capital (KNSL) Q4 results benefit from rate increases, focus on disciplined underwriting and cost management.""}, {""date"": ""2023-02-17"", ""headline"": ""Jeff Auxier Buys 2, Sells 3 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-17"", ""headline"": ""Cornerstone Investment Partners, LLC Buys 1, Sells 4 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
6,2023-02-19,181.5861053466797,2023-02-26,181.17552185058594,-0.0022610953371673403,D1,"[{""date"": ""2023-02-21"", ""headline"": ""Travelers Cos. Inc. stock falls Tuesday, still outperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. slid 0.27% to $185.25 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-21"", ""headline"": ""Jeff Auxier Downloads Adobe, Boosts British American Tobacco"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-22"", ""headline"": ""Walmart, Verizon share losses lead Dow`s 36-point drop"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-22"", ""headline"": ""Travelers Cos. Inc. stock rises Wednesday, outperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. inched 0.47% higher to $186.12 Wednesday, on what proved to be an all-around rough trading session for the stock market, with...""}, {""date"": ""2023-02-22"", ""headline"": ""Travelers Institute Announces Spring 2023 Virtual Programming"", ""summary"": ""HARTFORD, Conn., February 22, 2023--The Travelers Institute, the public policy division of The Travelers Companies, Inc. (NYSE: TRV), today announced its Wednesdays with Woodward\u00ae spring 2023 virtual programming schedule. The webinar series, hosted by Joan Woodward, President of the Travelers Institute and Executive Vice President of Public Policy at Travelers, examines pressing topics at the intersection of insurance, business and public policy.""}, {""date"": ""2023-02-22"", ""headline"": ""Top 5 4th Quarter Trades of COGNIOS BETA NEUTRAL LARGE CAP FUND, LP"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-23"", ""headline"": ""Travelers Cos. Inc. stock falls Thursday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. shed 0.35% to $185.47 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...""}, {""date"": ""2023-02-23"", ""headline"": ""Travelers (TRV) Down 2.4% Since Last Earnings Report: Can It Rebound?"", ""summary"": ""Travelers (TRV) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.""}, {""date"": ""2023-02-23"", ""headline"": ""Fidelity National (FNF) Q4 Earnings Miss, Title Volume Falls"", ""summary"": ""Fidelity National's (FNF) Q4 results reflect significant decline in volume, partially offset by a higher average fee per file.""}, {""date"": ""2023-02-24"", ""headline"": ""Travelers Cos. Inc. stock underperforms Friday when compared to competitors"", ""summary"": ""Shares of Travelers Cos. Inc. slumped 0.08% to $185.33 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...""}]",{}
7,2023-02-26,181.17552185058594,2023-03-05,179.4745330810547,-0.009388623541175978,D1,"[{""date"": ""2023-02-27"", ""headline"": ""The 20 worst U.S. stocks in February: the biggest loser dropped 35%"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-27"", ""headline"": ""Travelers Cos. Inc. stock remains steady Monday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. were unchanged Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-28"", ""headline"": ""Travelers Cos. Inc. stock falls Tuesday, still outperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. shed 0.11% to $185.12 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-28"", ""headline"": ""Argo Group (ARGO) Q4 Earnings and Revenues Miss, Down Y/Y"", ""summary"": ""Argo Group (ARGO) Q4 results reflect lower premiums due to premiums ceded in connection with the U.S. loss portfolio transfer (LPT) as well as lower net investment income.""}, {""date"": ""2023-02-28"", ""headline"": ""Why Should You Hold Travelers (TRV) Stock in Your Portfolio?"", ""summary"": ""Travelers (TRV) continues to benefit from strong net earned premiums, high levels of retention, improved pricing and sufficient liquidity.""}, {""date"": ""2023-03-01"", ""headline"": ""Travelers Cos. Inc. stock outperforms competitors despite losses on the day"", ""summary"": ""Shares of Travelers Cos. Inc. sank 0.58% to $184.05 Wednesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...""}, {""date"": ""2023-03-01"", ""headline"": ""ProAssurance (PRA) Beats Q4 Estimates on Strong Retention"", ""summary"": ""ProAssurance's (PRA) fourth-quarter results reflect strong net investment income and high premium rates. However, inflationary pressures remain a concern.""}, {""date"": ""2023-03-02"", ""headline"": ""Travelers Cos. Inc. stock falls Thursday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. sank 0.47% to $183.19 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-03"", ""headline"": ""Travelers Cos. Inc. stock rises Friday, still underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. inched 0.22% higher to $183.59 Friday, on what proved to be an all-around positive trading session for the stock market, with...""}, {""date"": ""2023-03-03"", ""headline"": ""Video: Dow Movers: TRV, AAPL"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-04"", ""headline"": ""Dividend Champion, Contender, And Challenger Highlights: Week Of March 5"", ""summary"": ""A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Read more to see the companies with upcoming ex-dividend dates.""}, {""date"": ""2023-03-04"", ""headline"": ""Is It Smart To Buy The Travelers Companies, Inc. (NYSE:TRV) Before It Goes Ex-Dividend?"", ""summary"": ""Regular readers will know that we love our dividends at Simply Wall St, which is why it's exciting to see The Travelers...""}]",{}
8,2023-03-05,179.4745330810547,2023-03-12,172.64503479003906,-0.038052743048125226,D4,"[{""date"": ""2023-03-04"", ""headline"": ""Dividend Champion, Contender, And Challenger Highlights: Week Of March 5"", ""summary"": ""A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Read more to see the companies with upcoming ex-dividend dates.""}, {""date"": ""2023-03-06"", ""headline"": ""Travelers Cos. Inc. stock underperforms Monday when compared to competitors"", ""summary"": ""Shares of Travelers Cos. Inc. slumped 0.13% to $183.35 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-07"", ""headline"": ""Merck, Travelers share losses lead Dow`s 68-point drop"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-07"", ""headline"": ""Travelers Cos. Inc. stock falls Tuesday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. slipped 1.63% to $180.37 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-08"", ""headline"": ""Travelers Companies Enters Oversold Territory"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-08"", ""headline"": ""TRV Makes Notable Cross Below Critical Moving Average"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-08"", ""headline"": ""Travelers Cos. Inc. stock falls Wednesday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. slid 1.44% to $177.77 Wednesday, on what proved to be an all-around mixed trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-08"", ""headline"": ""Merck, Chevron share losses lead Dow`s 150-point fall"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-09"", ""headline"": ""Travelers Cos. Inc. stock falls Thursday, still outperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. shed 1.65% to $173.92 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-03-10"", ""headline"": ""Travelers Cos. Inc. stock outperforms market on strong trading day"", ""summary"": ""Shares of Travelers Cos. Inc. advanced 1.01% to $175.68 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-10"", ""headline"": ""HCI Group (HCI) Q4 Earnings Beat Estimates, Revenues Lag"", ""summary"": ""HCI Group's (HCI) Q4 results reflect better performance at TypTap Insurance Company.""}, {""date"": ""2023-03-10"", ""headline"": ""Why I'm Convinced That SCHD Will Outperform"", ""summary"": ""In this article, we start with a discussion of a very tricky macro environment, consisting of a rapidly falling equity risk premium and growth challenges. Read more here.""}, {""date"": ""2023-03-10"", ""headline"": ""Why I`m Convinced That SCHD Will Outperform"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
9,2023-03-12,172.64503479003906,2023-03-19,162.1790313720703,-0.06062151414141104,D5+,"[{""date"": ""2023-03-13"", ""headline"": ""Travelers Cos. Inc. stock falls Monday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. shed 1.97% to $172.22 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-03-13"", ""headline"": ""Progressive: Continued Leadership With Broad-Based Expansion Strategies"", ""summary"": ""The Progressive Corporation's Snapshot tool enables usage-based insurance. Click for my take on how such efficiency-driving technologies make PGR stock a buy.""}, {""date"": ""2023-03-14"", ""headline"": ""Auto Insurers Rush to Raise Rates to Offset Huge Losses"", ""summary"": ""The February CPI report showed a 14.5% rise in auto insurance rates in the past year.""}, {""date"": ""2023-03-14"", ""headline"": ""Travelers Cos. Inc. stock falls Tuesday, underperforms market"", ""summary"": ""Shares of Travelers Cos. Inc. dropped 0.27% to $171.76 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...""}, {""date"": ""2023-03-14"", ""headline"": ""Why you should buy everything with credit cards \u2014 provided you meet 1 condition"", ""summary"": ""Having multiple credit cards can save you hundreds of dollars each year. How much money you save depends on your lifestyle and how you play the rewards game. ""}, {""date"": ""2023-03-15"", ""headline"": ""Travelers Cos. Inc. stock outperforms competitors despite losses on the day"", ""summary"": ""Shares of Travelers Cos. Inc. slipped 3.07% to $166.49 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-15"", ""headline"": ""Travelers Schedules Conference Call to Review First Quarter 2023 Results"", ""summary"": ""NEW YORK, March 15, 2023--The Travelers Companies, Inc. (NYSE: TRV) will review its first quarter 2023 results at 9 a.m. ET on Wednesday, April 19, following the release of results earlier that morning.""}, {""date"": ""2023-03-15"", ""headline"": ""All 30 Dow stocks are falling, led by financial sector members Goldman, Travelers, JPMorgan Chase"", ""summary"": ""The early big selloff in the Dow Jones Industrial Average is unanimous, as the stocks of all 30 components were trading lower. The biggest losers were...""}, {""date"": ""2023-03-16"", ""headline"": ""Travelers Cos. Inc. stock outperforms market on strong trading day"", ""summary"": ""Shares of Travelers Cos. Inc. advanced 3.44% to $172.21 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...""}, {""date"": ""2023-03-17"", ""headline"": ""Travelers Cos. Inc. stock underperforms Friday when compared to competitors"", ""summary"": ""Shares of Travelers Cos. Inc. slipped 4.17% to $165.03 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-03-17"", ""headline"": ""Insurance sector also taking a beating as bank stocks keep selling off"", ""summary"": ""MARKET PULSE The crisis of investors confidence in banks has spilled over to the insurance sector, which has taken a beating in the past week. The SPDR S&P Insurance exchange-traded fund (KIE) slid 3.""}, {""date"": ""2023-03-17"", ""headline"": ""The Dow\u2019s 4 financial stocks are cutting about 170 points off the Dow\u2019s price"", ""summary"": ""Financial stocks continued to drag stock stock market down Friday, as the Dow Jones Industrial Average\u2019s four financial components contributed about 40% of...""}, {""date"": ""2023-03-17"", ""headline"": ""Dow drops 439 points on losses in shares of JPMorgan Chase, Travelers"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-17"", ""headline"": ""The Dow`s 4 financial stocks are cutting about 170 points off the Dow`s price"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-19"", ""headline"": ""The Tao Of The Dow, Simple Self-Indexing Strategy"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
