,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,63.853946685791016,2023-01-15,65.3497314453125,0.023425094879128805,U3,[],"{""assetTurnoverTTM"": 0.9217, ""bookValue"": 13168, ""cashRatio"": 0.7429521697814381, ""currentRatio"": 1.3953, ""ebitPerShare"": 1.5241, ""eps"": 1.1766, ""ev"": 41199.6, ""fcfMargin"": 0.1156, ""fcfPerShareTTM"": 2.09, ""grossMargin"": 0.1998, ""inventoryTurnoverTTM"": 11.1574, ""longtermDebtTotalAsset"": 0.3448, ""longtermDebtTotalCapital"": 0.4656, ""longtermDebtTotalEquity"": 0.8713, ""netDebtToTotalCapital"": 0.2752, ""netDebtToTotalEquity"": 0.515, ""netMargin"": 0.1133, ""operatingMargin"": 0.1468, ""payoutRatioTTM"": 0.3336, ""pb"": 2.6138, ""peTTM"": 11.4287, ""pfcfTTM"": 21.0318, ""pretaxMargin"": 0.1446, ""psTTM"": 1.1943, ""quickRatio"": 1.047, ""receivablesTurnoverTTM"": 16.492, ""roaTTM"": 0.0963, ""roeTTM"": 0.2375, ""roicTTM"": 0.1282, ""rotcTTM"": 0.1657, ""salesPerShare"": 10.3825, ""sgaToSale"": 0.8002, ""totalDebtToEquity"": 0.8713, ""totalDebtToTotalAsset"": 0.3448, ""totalDebtToTotalCapital"": 0.4656, ""totalRatio"": 1.6549, ""period"": ""2022-12-31""}"
1,2023-01-15,65.3497314453125,2023-01-22,63.13469314575195,-0.03389514004987437,D4,[],"{""assetTurnoverTTM"": 0.9217, ""bookValue"": 13168, ""cashRatio"": 0.7429521697814381, ""currentRatio"": 1.3953, ""ebitPerShare"": 1.5241, ""eps"": 1.1766, ""ev"": 41199.6, ""fcfMargin"": 0.1156, ""fcfPerShareTTM"": 2.09, ""grossMargin"": 0.1998, ""inventoryTurnoverTTM"": 11.1574, ""longtermDebtTotalAsset"": 0.3448, ""longtermDebtTotalCapital"": 0.4656, ""longtermDebtTotalEquity"": 0.8713, ""netDebtToTotalCapital"": 0.2752, ""netDebtToTotalEquity"": 0.515, ""netMargin"": 0.1133, ""operatingMargin"": 0.1468, ""payoutRatioTTM"": 0.3336, ""pb"": 2.6138, ""peTTM"": 11.4287, ""pfcfTTM"": 21.0318, ""pretaxMargin"": 0.1446, ""psTTM"": 1.1943, ""quickRatio"": 1.047, ""receivablesTurnoverTTM"": 16.492, ""roaTTM"": 0.0963, ""roeTTM"": 0.2375, ""roicTTM"": 0.1282, ""rotcTTM"": 0.1657, ""salesPerShare"": 10.3825, ""sgaToSale"": 0.8002, ""totalDebtToEquity"": 0.8713, ""totalDebtToTotalAsset"": 0.3448, ""totalDebtToTotalCapital"": 0.4656, ""totalRatio"": 1.6549, ""period"": ""2022-12-31""}"
2,2023-01-22,63.13469314575195,2023-01-29,70.41629791259766,0.11533444456656317,U5+,[],{}
3,2023-01-29,70.41629791259766,2023-02-05,70.12986755371094,-0.0040676713683847066,D1,"[{""date"": ""2023-01-29"", ""headline"": ""Paccar Inc. stock falls Monday, underperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-01-30"", ""headline"": ""Caterpillar Stock: Why I'm Not Constructive Going Into Earnings"", ""summary"": ""I believe that the largest headwind facing Caterpillar is the fear of a recession. Check out the reasons why I rate CAT stock a Sell.""}, {""date"": ""2023-01-30"", ""headline"": ""Is Nikola (NKLA) Outperforming Other Auto-Tires-Trucks Stocks This Year?"", ""summary"": ""Here is how Nikola (NKLA) and Paccar (PCAR) have performed compared to their sector so far this year.""}, {""date"": ""2023-01-30"", ""headline"": ""Caterpillar Stock: Why I`m Not Constructive Going Into Earnings"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-01-31"", ""headline"": ""Paccar Inc. stock rises Tuesday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.49% higher to $109.31 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-01-31"", ""headline"": ""Auto Roundup: Q4 Earnings Snapshots of TSLA, PCAR, GPI, ALV & GNTX"", ""summary"": ""While Tesla (TSLA), PACCAR (PCAR), Group 1 (GPI), Autoliv (ALV) post better-than-expected Q4 earnings, Gentex (GNTX) lags earnings estimates by a slight margin.""}, {""date"": ""2023-02-01"", ""headline"": ""The S&P 500 is flashing signs that the bear market finally could be over"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-01"", ""headline"": ""Paccar Inc. stock rises Wednesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. rose 1.88% to $111.36 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-01"", ""headline"": ""BMO Capital Keeps Their Hold Rating on Paccar (PCAR)"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-01"", ""headline"": ""Paccar price target raised to $100 from $90 at BMO Capital"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-02"", ""headline"": ""Paccar Inc. stock rises Thursday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.22% higher to $111.61 Thursday, on what proved to be an all-around mixed trading session for the stock market, with the S&P...""}, {""date"": ""2023-02-02"", ""headline"": ""PACCAR (NASDAQ:PCAR) Has Some Way To Go To Become A Multi-Bagger"", ""summary"": ""If you're looking for a multi-bagger, there's a few things to keep an eye out for. One common approach is to try and...""}, {""date"": ""2023-02-02"", ""headline"": ""Merck, GM among BofA`s latest Alpha Surprise picks"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-03"", ""headline"": ""Paccar Inc. stock falls Friday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slipped 1.28% to $110.18 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...""}]",{}
4,2023-02-05,70.12986755371094,2023-02-12,69.68749237060547,-0.006307942657479915,D1,"[{""date"": ""2023-02-06"", ""headline"": ""Paccar Inc. stock rises Monday, outperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.24% higher to $110.44 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-07"", ""headline"": ""AFFINITY INVESTMENT ADVISORS, LLC Buys 3, Sells 2 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-07"", ""headline"": ""Paccar Inc. stock falls Tuesday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 0.14% to $110.29 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-07"", ""headline"": ""PACCAR Inc (NASDAQ:PCAR) is favoured by institutional owners who hold 66% of the company"", ""summary"": ""Every investor in PACCAR Inc ( NASDAQ:PCAR ) should be aware of the most powerful shareholder groups. With 66% stake...""}, {""date"": ""2023-02-07"", ""headline"": ""Morgan Stanley Reaffirms Their Buy Rating on Paccar (PCAR)"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-07"", ""headline"": ""Why traffic can't be solved with just adding more highway lanes"", ""summary"": ""Traffic and congestion have been worsening in U.S. cities for decades. Widening roads is an oft-proposed fix, but experts say it's only part of the solution. ""}, {""date"": ""2023-02-08"", ""headline"": ""Paccar Inc. stock rises Thursday, outperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-08"", ""headline"": ""Paccar Inc. stock falls Wednesday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 2.14% to $71.95 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-08"", ""headline"": ""PACCAR Enters Oversold Territory"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-08"", ""headline"": ""Video: Nasdaq 100 Movers: PCAR, FTNT"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-08"", ""headline"": ""Video: S&P 500 Movers: PCAR, FTNT"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-09"", ""headline"": ""Paccar Inc. stock falls Friday, underperforms market"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-09"", ""headline"": ""25 Biggest Washington Companies and Stocks"", ""summary"": ""In this article, we will be taking a look at the 25 biggest Washington companies and stocks. To skip our detailed analysis, you can go directly to see the 5 biggest Washington companies and stocks. If all U.S. states were countries, the state of Washington would be the 30th largest country in the world, with [\u2026]""}, {""date"": ""2023-02-09"", ""headline"": ""Are You Making This Big Investing Mistake?"", ""summary"": ""When stocks are volatile, some investors lose their way and stray from their investing strategy.""}, {""date"": ""2023-02-10"", ""headline"": ""Zacks Value Investor Highlights: Delta Airlines, AGCO, Halliburton, Jabil and PACCAR"", ""summary"": ""Delta Airlines, AGCO, Halliburton, Jabil and PACCAR have been highlighted in this Value Investor article.""}, {""date"": ""2023-02-11"", ""headline"": ""Paccar: Leading The Cleaner Truck Market, But Slowing Truck Order Puts Short-Term At Risk"", ""summary"": ""PCAR remains stable despite today\u00e2\u0080\u0099s bearish market. In fact, it delivered more vehicles than last year globally. Read more here.""}]",{}
5,2023-02-12,69.68749237060547,2023-02-19,72.51371002197266,0.040555594056062017,U5,"[{""date"": ""2023-02-13"", ""headline"": ""Paccar Inc. stock rises Monday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.36% higher to $73.00 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-14"", ""headline"": ""Paccar Inc. stock rises Tuesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.27% higher to $73.20 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-14"", ""headline"": ""Paccar price target lowered to $69 from $104 at Deutsche Bank"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-15"", ""headline"": ""The U.S. stock market is trying to find direction, but the trend is still bullish"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-15"", ""headline"": ""Paccar Inc. stock rises Wednesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. advanced 2.34% to $74.91 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-15"", ""headline"": ""These Are 3 of the Nasdaq's Cheapest Dividend Stocks"", ""summary"": ""The\u00a0Nasdaq Composite is often associated with high-powered growth stocks.  Three stocks that could potentially give you the best of both worlds are Viatris\u00a0(NASDAQ: VTRS),\u00a0Comcast\u00a0(NASDAQ: CMCSA), and\u00a0Paccar\u00a0(NASDAQ: PCAR).  Drugmaker Viatris has only been around since 2020 when it spun off from Pfizer and merged with Mylan.""}, {""date"": ""2023-02-16"", ""headline"": ""Paccar Inc. stock outperforms market despite losses on the day"", ""summary"": ""Shares of Paccar Inc. shed 0.05% to $74.87 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-17"", ""headline"": ""Trucking And Pure Water Plays Tap New Highs On Strong Earnings Growth"", ""summary"": ""Paccar and Primo Water tagged buy points and new highs Friday. One of these market leaders just posted phenomenal 78% earnings growth while the other made the \""Current Favorites\"" list at Raymond James.""}, {""date"": ""2023-02-17"", ""headline"": ""Paccar Inc. stock rises Friday, outperforms market"", ""summary"": ""Shares of Paccar Inc. rallied 1.10% to $75.69 Friday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...""}, {""date"": ""2023-02-17"", ""headline"": ""Paccar (PCAR) Gets a Buy from Raymond James"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-17"", ""headline"": ""EVERGREEN CAPITAL MANAGEMENT LLC Buys 3, Sells 2 in 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-17"", ""headline"": ""Cowen & Co. Initiates a Hold Rating on Paccar (PCAR)"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-18"", ""headline"": ""FIDUCIARY MANAGEMENT INC /WI/`s Top 5 Sells of the 4th Quarter"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
6,2023-02-19,72.51371002197266,2023-02-26,69.26596069335938,-0.04478807287103592,D5,"[{""date"": ""2023-02-20"", ""headline"": ""PCAR vs. TSLA: Which Stock Is the Better Value Option?"", ""summary"": ""PCAR vs. TSLA: Which Stock Is the Better Value Option?""}, {""date"": ""2023-02-20"", ""headline"": ""Is PACCAR (PCAR) Stock Undervalued Right Now?"", ""summary"": ""Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.""}, {""date"": ""2023-02-20"", ""headline"": ""PACCAR Inc. (PCAR) Hits Fresh High: Is There Still Room to Run?"", ""summary"": ""Paccar (PCAR) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.""}, {""date"": ""2023-02-21"", ""headline"": ""Paccar Inc. stock falls Tuesday, underperforms market"", ""summary"": ""Shares of Paccar Inc. shed 2.42% to $73.86 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-21"", ""headline"": ""What Makes Paccar (PCAR) a Strong Momentum Stock: Buy Now?"", ""summary"": ""Does Paccar (PCAR) have what it takes to be a top stock pick for momentum investors? Let's find out.""}, {""date"": ""2023-02-21"", ""headline"": ""Analysts Offer Insights on Industrial Goods Companies: Paccar (PCAR), Star Bulk Carriers (SBLK) and Yellow Corporation (YELL)"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-02-22"", ""headline"": ""Paccar Inc. stock falls Wednesday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slipped 1.03% to $73.10 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-23"", ""headline"": ""Paccar Inc. stock rises Thursday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.47% higher to $73.44 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-02-24"", ""headline"": ""Paccar Inc. stock falls Friday, underperforms market"", ""summary"": ""Shares of Paccar Inc. shed 1.55% to $72.30 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-24"", ""headline"": ""Analysts` Opinions Are Mixed on These Industrial Goods Stocks: Paccar (PCAR), Tennant Co (TNC) and Plains GP Holdings (PAGP)"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
7,2023-02-26,69.26596069335938,2023-03-05,72.99272155761719,0.053803640734244595,U5+,"[{""date"": ""2023-02-27"", ""headline"": ""Paccar Inc. stock falls Monday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 0.26% to $72.11 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-02-28"", ""headline"": ""Paccar Inc. stock rises Tuesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.12% higher to $72.20 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...""}, {""date"": ""2023-03-01"", ""headline"": ""Paccar (PCAR) Gains As Market Dips: What You Should Know"", ""summary"": ""In the latest trading session, Paccar (PCAR) closed at $73.05, marking a +1.18% move from the previous day.""}, {""date"": ""2023-03-01"", ""headline"": ""Paccar Inc. stock rises Wednesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. rose 1.18% to $73.05 Wednesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...""}, {""date"": ""2023-03-02"", ""headline"": ""Catalyst watch: General Electric, Apple, Chevron, Black Knight and Ethereum in the spotlight"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-02"", ""headline"": ""Paccar Inc. stock rises Thursday, outperforms market"", ""summary"": ""Shares of Paccar Inc. rose 2.38% to $74.79 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-03"", ""headline"": ""Paccar Inc. stock rises Friday, outperforms market"", ""summary"": ""Shares of Paccar Inc. rallied 1.87% to $76.19 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-03"", ""headline"": ""Class 8 truck orders pick back up in February but a tough road lies ahead"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-04"", ""headline"": ""13 Most Undervalued Industrial Stocks To Buy According To Hedge Funds"", ""summary"": ""In this article, we will take a look at the 13 most undervalued industrial stocks to buy according to hedge funds. To see more such companies, go directly to 5 Most Undervalued Industrial Stocks To Buy According To Hedge Funds. More and more data points are now indicating an imminent recession in 2023 as the [\u2026]""}]",{}
8,2023-03-05,72.99272155761719,2023-03-12,69.28511810302734,-0.05079415283430999,D5+,"[{""date"": ""2022-11-30"", ""headline"": ""Are You a Value Investor? This 1 Stock Could Be the Perfect Pick"", ""summary"": ""Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.""}, {""date"": ""2023-03-06"", ""headline"": ""Paccar Inc. stock rises Monday, outperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.12% higher to $76.28 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-07"", ""headline"": ""Paccar (PCAR) Stock Moves -0.64%: What You Should Know"", ""summary"": ""Paccar (PCAR) closed at $75.79 in the latest trading session, marking a -0.64% move from the prior day.""}, {""date"": ""2023-03-07"", ""headline"": ""Paccar Inc. stock falls Tuesday, still outperforms market"", ""summary"": ""Shares of Paccar Inc. shed 0.64% to $75.79 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-08"", ""headline"": ""Jim Cramer says these 12 stocks aren't 'your father's cyclicals'"", ""summary"": ""\""The transformation is real,\"" Cramer said. \""Saving the planet's become a much more reliable business than despoiling it.\""""}, {""date"": ""2023-03-08"", ""headline"": ""Paccar Inc. stock rises Wednesday, outperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.22% higher to $75.96 Wednesday, on what proved to be an all-around mixed trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-09"", ""headline"": ""Paccar Inc. stock falls Thursday, underperforms market"", ""summary"": ""Shares of Paccar Inc. shed 2.17% to $74.31 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-09"", ""headline"": ""Is PACCAR (PCAR) Ready to Charge Into an Electric Future?"", ""summary"": ""Accelerated efforts toward electrification, connected vehicle services and advanced driver-assistance system options are set to bolster PACCAR's (PCAR) prospects. Should you buy the stock now?""}, {""date"": ""2023-03-09"", ""headline"": ""Caterpillar Has A Hidden Gold Mine (And Recently Taught Me An Investing Lesson)"", ""summary"": ""Caterpillar's recent FY 2022 results saw high top line growth with margins below targets set at Investor Day. See why I'm bullish on CAT stock.""}, {""date"": ""2023-03-10"", ""headline"": ""Paccar Inc. stock falls Friday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 2.68% to $72.32 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-10"", ""headline"": ""Salesforce and Advanced Micro Devices have been highlighted as Zacks Bull and Bear of the Day"", ""summary"": ""Salesforce and Advanced Micro Devices have been highlighted as Zacks Bull and Bear of the Day.""}, {""date"": ""2023-03-10"", ""headline"": ""3 Top Value Stocks Breaking Out In 2023"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}]",{}
9,2023-03-12,69.28511810302734,2023-03-19,65.80745697021484,-0.05019347917746486,D5+,"[{""date"": ""2023-03-13"", ""headline"": ""Paccar (PCAR) Dips More Than Broader Markets: What You Should Know"", ""summary"": ""Paccar (PCAR) closed at $71.42 in the latest trading session, marking a -1.24% move from the prior day.""}, {""date"": ""2023-03-13"", ""headline"": ""Paccar Inc. stock falls Monday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slipped 1.24% to $71.42 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-13"", ""headline"": ""PACCAR Recognizes 10 PPM Quality Award Winners"", ""summary"": ""BELLEVUE, Wash., March 13, 2023--PACCAR annually recognizes suppliers who exceed PACCAR\u2019s 10 ppm quality standard, or the equivalent of 10 defective parts for every million components shipped to PACCAR. To qualify, suppliers must also meet demanding criteria for customer support and continuous improvement. For 2022, PACCAR recognizes 453 suppliers in 34 countries on five continents for achieving this high level of quality performance.""}, {""date"": ""2023-03-13"", ""headline"": ""Zacks Value Trader Highlights: Penske Automotive Group, United Rentals and PACCAR"", ""summary"": ""Penske Automotive Group, United Rentals and PACCAR are part of the Zacks Value Trader blog.""}, {""date"": ""2023-03-13"", ""headline"": ""Reviewing Nikola's Partnership With Iveco"", ""summary"": ""Nikola and Iveco signed a partnership to build in Ulm, Germany, the Nikola Tre. Click here to read more about the partnership.""}, {""date"": ""2023-03-13"", ""headline"": ""Nikola manufacturing upside balanced by execution, competition - Morgan Stanley"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-13"", ""headline"": ""Reviewing Nikola`s Partnership With Iveco"", ""summary"": ""Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.""}, {""date"": ""2023-03-14"", ""headline"": ""Paccar Inc. stock rises Tuesday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. advanced 1.58% to $72.55 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-15"", ""headline"": ""Paccar Inc. stock falls Wednesday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 2.56% to $70.69 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-16"", ""headline"": ""Paccar Inc. stock rises Thursday, still underperforms market"", ""summary"": ""Shares of Paccar Inc. inched 0.23% higher to $70.85 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...""}, {""date"": ""2023-03-16"", ""headline"": ""3 Domestic Auto Stocks Well-Poised to Fend Off Industry Woes"", ""summary"": ""While the rising economic uncertainty has dampened the Domestic Auto Industry's prospects, industry players like GM, PCAR and HOG are better equipped to tide over the headwinds.""}, {""date"": ""2023-03-17"", ""headline"": ""Paccar Inc. stock falls Friday, underperforms market"", ""summary"": ""Shares of Paccar Inc. slid 3.05% to $68.69 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...""}, {""date"": ""2023-03-17"", ""headline"": ""Zacks Industry Outlook Highlights General Motors, PACCAR and Harley-Davidson"", ""summary"": ""General Motors, PACCAR and Harley-Davidson are part of the Zacks Industry Outlook article.""}]",{}
